FOODID;FOODNAME;FOODTYPE;PROCESS;EDPORT;IGCLASS;IGCLASSP;FUCLASS;FUCLASSP
345;HERKKUSIENI;FOOD;RAW;100;MUSHRO;VEGTOT;MUSHRDI;VEGDITOT
346;KURKKU;FOOD;RAW;100;VEGFRU;VEGTOT;VEGFRESH;VEGDITOT
347;ETIKKAKURKKU;FOOD;CANN;100;VEGFRU;VEGTOT;VEGCANN;VEGDITOT
348;MAUSTEKURKKU, SOKERISUOLATTU;FOOD;CANN;100;VEGFRU;VEGTOT;VEGCANN;VEGDITOT
350;KURPITSA;FOOD;RAW;100;VEGFRU;VEGTOT;VEGFRESH;VEGDITOT
351;SALAATTI, KURPITSASALAATTI, PIKKELSSI;FOOD;CANN;100;VEGCANN;VEGTOT;VEGCANN;VEGDITOT
352;TOMAATTI;FOOD;RAW;100;VEGFRU;VEGTOT;VEGFRESH;VEGDITOT
353;KETSUPPI;FOOD;IND;100;FLAVSAUC;FLAVTOT;SPISAUCE;MISCTOT
354;TOMAATTISOSE, TOMAATTIPYREE;FOOD;CANN;100;VEGCANN;VEGTOT;SPISAUCE;MISCTOT
355;PAPRIKA, KESKIARVO;FOOD;RAW;100;VEGFRU;VEGTOT;VEGFRESH;VEGDITOT
358;TÄYSMEHU, KASVISTUOREMEHU;FOOD;MASH;100;VEGCANN;VEGTOT;VEGJUICE;VEGDITOT
359;KIINANKAALI;FOOD;RAW;100;VEGLEAF;VEGTOT;VEGFRESH;VEGDITOT
360;MANGOLDI;FOOD;RAW;100;VEGLEAF;VEGTOT;VEGFRESH;VEGDITOT
362;MUNAKOISO;FOOD;RAW;100;VEGFRU;VEGTOT;VEGFRESH;VEGDITOT
363;MAISSI, JYVÄT;FOOD;RAW;100;VEGLEAF;VEGTOT;VEGFRESH;VEGDITOT
364;VIHANNESKRASSI;FOOD;RAW;100;VEGLEAF;VEGTOT;VEGFRESH;VEGDITOT
367;KANTARELLI;FOOD;RAW;100;MUSHRO;VEGTOT;MUSHRDI;VEGDITOT
368;KORVASIENI;FOOD;RAW;100;MUSHRO;VEGTOT;MUSHRDI;VEGDITOT
369;TILLI, TUORE;FOOD;RAW;100;VEGLEAF;VEGTOT;VEGFRESH;VEGDITOT
370;HERNE;FOOD;RAW;100;PEABEAN;LEGUTOT;VEGFRESH;VEGDITOT
371;HERNE, KUIVATTU;FOOD;DRIE;100;PEABEAN;LEGUTOT;VEGFRESH;VEGDITOT
372;PAPU, VIHREÄ;FOOD;RAW;100;PEABEAN;LEGUTOT;VEGCANN;VEGDITOT
373;PAPU, RUSKEA TAI VALKOINEN, KESKIARVO;FOOD;DRIE;100;PEABEAN;LEGUTOT;VEGCANN;VEGDITOT
375;PÄHKINÄ, HASSELPÄHKINÄ;FOOD;RAW;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
376;PÄHKINÄ, SAKSANPÄHKINÄ;FOOD;RAW;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
377;KASTANJA;FOOD;RAW;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
378;PÄHKINÄ, MAAPÄHKINÄ;FOOD;RAW;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
379;MANTELI;FOOD;RAW;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
380;JAUHO, SOIJAJAUHO, RASVAINEN;FOOD;RAW;100;SOYAPROD;LEGUTOT;INGRMISC;MISCTOT
381;JAUHO, SOIJAJAUHO, VÄHÄRASVAINEN;FOOD;RAW;100;SOYAPROD;LEGUTOT;INGRMISC;MISCTOT
382;KOOKOSHIUTALE;FOOD;DRIE;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
383;PÄHKINÄ, SUOLAPÄHKINÄ;FOOD;BAK;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
384;ITU, KESKIARVO, SINIMAILANEN, MUNGOPAPU;FOOD;RAW;100;VEGLEAF;VEGTOT;VEGFRESH;VEGDITOT
385;SEESAMINSIEMEN, KUORINEEN;FOOD;DRIE;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
386;PAPRIKA, PUNAINEN;FOOD;RAW;100;VEGFRU;VEGTOT;VEGFRESH;VEGDITOT
387;PAPRIKA, VIHREÄ;FOOD;RAW;100;VEGFRU;VEGTOT;VEGFRESH;VEGDITOT
388;PAPRIKA, KELTAINEN;FOOD;RAW;100;VEGFRU;VEGTOT;VEGFRESH;VEGDITOT
389;KESÄKURPITSA, ZUCCHINI;FOOD;RAW;100;VEGFRU;VEGTOT;VEGFRESH;VEGDITOT
390;TÄYSMEHU, TOMAATTIMEHU;FOOD;MASH;100;VEGCANN;VEGTOT;VEGJUICE;VEGDITOT
391;SOIJAPAPU, KUIVATTU;FOOD;DRIE;100;SOYAPROD;LEGUTOT;VEGCANN;VEGDITOT
392;RUOHOSIPULI;FOOD;RAW;100;VEGLEAF;VEGTOT;VEGFRESH;VEGDITOT
393;VALKOSIPULI;FOOD;RAW;100;VEGONI;VEGTOT;VEGFRESH;VEGDITOT
394;SALAATTI, KURKKUSALAATTI, KURKKUPIKKELSSI, KURKKURELISSI;FOOD;CANN;100;VEGCANN;VEGTOT;VEGCANN;VEGDITOT
395;PAPU, VALKOINEN, KEITETTY;FOOD;BOIL;100;PEABEAN;LEGUTOT;VEGCANN;VEGDITOT
398;TOMAATTIMURSKA;FOOD;CANN;100;VEGCANN;VEGTOT;VEGCANN;VEGDITOT
399;LINSSI, VIHREÄ/RUSKEA, KUIVATTU;FOOD;DRIE;100;PEABEAN;LEGUTOT;VEGCANN;VEGDITOT
401;OMENA, KUIVATTU;FOOD;DRIE;100;APPLE;FRUITTOT;SNACK;MISCTOT
408;APRIKOOSI, SOKERILIEMESSÄ;FOOD;CANN;100;FRUITCAN;FRUITTOT;FRUBSAL;FRUDITOT
409;APRIKOOSI, KUIVATTU;FOOD;DRIE;100;APPLE;FRUITTOT;SNACK;MISCTOT
411;PERSIKKASÄILYKE, SOKERILIEMESSÄ;FOOD;CANN;100;FRUITCAN;FRUITTOT;FRUBSAL;FRUDITOT
412;PERSIKKA, KUIVATTU;FOOD;DRIE;100;APPLE;FRUITTOT;SNACK;MISCTOT
417;ANANAS, SOKERILIEMESSÄ;FOOD;CANN;100;FRUITCAN;FRUITTOT;FRUBSAL;FRUDITOT
423;VIINIRYPÄLE, KESKIARVO, KIVETÖN, VIHREÄ/TUMMA;FOOD;RAW;100;FRUITOTH;FRUITTOT;FRUFRESH;FRUDITOT
