FOODID;FOODNAME;FOODTYPE;PROCESS;EDPORT;IGCLASS;IGCLASSP;FUCLASS;FUCLASSP
658;TUOREJUUSTO, RASVAA 36-44 %, RUNSASRASVAINEN, KASAKKA/MUSTA-PEKKA;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
659;SULATEJUUSTO, RASVAA 9-12 %, VÄHÄRASVAINEN;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
661;JÄÄTELÖ, PEHMYTJÄÄTELÖ, VOHVELI;FOOD;IND;100;ICECREAM;MILKTOT;ICECREAM;MILKDTOT
663;JÄÄTELÖ, KERMAJÄÄTELÖ;FOOD;IND;100;ICECREAM;MILKTOT;ICECREAM;MILKDTOT
664;JÄÄTELÖ, KERMAJÄÄTELÖPUIKKO, SUKLAAKUORRUTE, KESKIARVO;FOOD;IND;100;ICECREAM;MILKTOT;ICECREAM;MILKDTOT
665;JÄÄTELÖ, KERMAJÄÄTELÖTUUTTI;FOOD;IND;100;ICECREAM;MILKTOT;ICECREAM;MILKDTOT
666;JÄÄTELÖ, MAITOJÄÄTELÖ;FOOD;IND;100;ICECREAM;MILKTOT;ICECREAM;MILKDTOT
667;JÄÄTELÖ, SOKERITON, KEINOTEKOISESTI MAKEUTETTU, RASVAA 6,5 %;FOOD;IND;100;ICECREAM;MILKTOT;ICECREAM;MILKDTOT
668;JÄÄTELÖ, KERMAJÄÄTELÖ, RASVAA YLI 12 %, KESKIARVO;FOOD;IND;100;ICECREAM;MILKTOT;ICECREAM;MILKDTOT
669;JÄÄTELÖ, RASVATON;FOOD;IND;100;ICECREAM;MILKTOT;ICECREAM;MILKDTOT
672;MAITOJAUHE RASVATON;FOOD;DRIE;100;MILKOTH;MILKTOT;INGRMISC;MISCTOT
675;KEVYTMAITO, RASVAA 1,5 %, VL, D-VITAMIINIA 1 UG;FOOD;IND;100;MILK;MILKTOT;MILKLF;MILKDTOT
680;VIILI, MAUSTAMATON, RASVAA 1 %, YKKÖSVIILI;FOOD;IND;100;SMILK;MILKTOT;MILKCURL;MILKDTOT
682;TUOREJUUSTO, RASVAA 30 %, CREMEBONJOUR/CANTADOU;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
684;KEVYTMAITO, RASVAA 1,5 %, D-VITAMIINIA 1 UG;FOOD;IND;100;MILK;MILKTOT;MILKLF;MILKDTOT
685;JOGURTTI, MAUSTETTU, RASVATON, OSITTAIN KEINOTEKOISESTI MAKEUTETTU, KA.;FOOD;IND;100;SMILK;MILKTOT;YOGHURT;MILKDTOT
686;JOGURTTI, MAUSTETTU, RASVAA 7 %;FOOD;IND;100;SMILK;MILKTOT;YOGHURT;MILKDTOT
687;RUOANVALMISTUSJOGURTTI, RASVAA 6-8 %, VL;FOOD;IND;100;CREAM;MILKTOT;MILKSAUC;MILKDTOT
689;TÄYSMAITO, RASVAA 3,5 %, D-VITAMIINIA 1 UG;FOOD;IND;100;MILK;MILKTOT;MILKHF;MILKDTOT
690;JUUSTO, SALAATTIJUUSTO, RASVAA 18 %, LEHMÄNMAITO, SUOLALIEMESSÄ;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
691;JUUSTO, EMMENTALJUUSTO, RASVAA 27-30 %, SUURIKOLOINEN, SINILEIMA/GRUYERE;FOOD;IND;100;CHEESE;MILKTOT;CHEESHAR;MILKDTOT
698;JUUSTO, CHEDDAR, RASVAA 34 %;FOOD;IND;100;CHEESE;MILKTOT;CHEESHAR;MILKDTOT
699;RUOANVALMISTUSKERMA, KASVIRASVAKERMA, RASVAA 15 %;FOOD;IND;100;CREAM;MILKTOT;MILKHF;MILKDTOT
701;SIANRUHO, KESKIRASVAINEN;FOOD;RAW;100;PORK;MEATTOT;MSTEAK;MEATDTOT
703;SIANKYLJYS/SELKÄ, PAKSU RASVAKERROS;FOOD;RAW;100;PORK;MEATTOT;MEATPOT;MEATDTOT
704;SIANKINKKU, SILAVOINEEN;FOOD;RAW;100;PORK;MEATTOT;MEATPOT;MEATDTOT
705;SIANLAPA;FOOD;RAW;100;PORK;MEATTOT;MEATPOT;MEATDTOT
706;SIANKYLKI;FOOD;RAW;100;PORK;MEATTOT;MEATPOT;MEATDTOT
707;PEKONI, RASVAINEN;FOOD;SMOK;100;PORK;MEATTOT;MSTEAK;MEATDTOT
708;SIAN SELKÄSILAVA;FOOD;RAW;100;PORK;MEATTOT;MEATPOT;MEATDTOT
709;SIANPOTKA;FOOD;RAW;100;PORK;MEATTOT;MEATPOT;MEATDTOT
711;JAUHELIHA, SIKA-NAUTA;FOOD;RAW;100;PORK;MEATTOT;MINCMED;MEATDTOT
712;JAUHELIHA, NAUDAN, VÄHÄRASVAINEN, RASVAA 7 %;FOOD;RAW;100;BEEF;MEATTOT;MINCMED;MEATDTOT
713;SIANLIHA, KESKIARVO;FOOD;RAW;100;PORK;MEATTOT;MEATPOT;MEATDTOT
714;NAUDANLIHA, KESKIARVO;FOOD;RAW;100;BEEF;MEATTOT;MSTEAK;MEATDTOT
716;NAUDANRUHO, KESKIRASVAINEN, 13 % RASVAA;FOOD;RAW;100;BEEF;MEATTOT;MSTEAK;MEATDTOT
718;NAUDANPAISTI;FOOD;RAW;100;BEEF;MEATTOT;MEATPOT;MEATDTOT
719;NAUDANLAPA/ETUSELKÄ;FOOD;RAW;100;BEEF;MEATTOT;MSTEAK;MEATDTOT
720;NAUDANPOTKA;FOOD;RAW;100;BEEF;MEATTOT;MSTEAK;MEATDTOT
721;NAUDANRINTA;FOOD;RAW;100;BEEF;MEATTOT;MSTEAK;MEATDTOT
722;NAUDANFILEE;FOOD;RAW;100;BEEF;MEATTOT;MSTEAK;MEATDTOT
723;NAUDANKYLKI;FOOD;RAW;100;BEEF;MEATTOT;MSTEAK;MEATDTOT
726;VASIKANPAISTI;FOOD;RAW;100;BEEF;MEATTOT;MSTEAK;MEATDTOT
730;LAMPAANLIHA, VÄHÄRASVAINEN;FOOD;RAW;100;LAMM;MEATTOT;MSTEAK;MEATDTOT
731;LAMPAANLIHA, RASVAINEN;FOOD;RAW;100;LAMM;MEATTOT;MSTEAK;MEATDTOT
732;LAMPAANPAISTI;FOOD;RAW;100;LAMM;MEATTOT;MSTEAK;MEATDTOT
734;PORONLIHA;FOOD;RAW;100;GAME;MEATTOT;MSTEAK;MEATDTOT
735;HIRVENLIHA;FOOD;RAW;100;GAME;MEATTOT;MSTEAK;MEATDTOT
736;JÄNIS;FOOD;RAW;100;GAME;MEATTOT;MSTEAK;MEATDTOT
737;KANI;FOOD;RAW;100;GAME;MEATTOT;MSTEAK;MEATDTOT
741;LIHASÄILYKE, NAUDANLIHA;FOOD;CANN;100;BEEF;MEATTOT;SAUSAGE;MEATDTOT
743;LIHASÄILYKE, SIKA-NAUTA;FOOD;CANN;100;BEEF;MEATTOT;SAUSAGE;MEATDTOT
747;LIHAHYYTELÖ;FOOD;BOIL;100;MEATPROD;MEATTOT;SAUSAGE;MEATDTOT
748;SIANPAISTI, VÄHÄRASVAINEN;FOOD;RAW;100;PORK;MEATTOT;MEATPOT;MEATDTOT
750;KANA;FOOD;RAW;100;POULTRY;MEATTOT;POULTDI;MEATDTOT
751;BROILERI, KOKONAINEN, NAHKOINEEN, RAAKA;FOOD;RAW;100;POULTRY;MEATTOT;POULTDI;MEATDTOT
752;KALKKUNA NAHKOINEEN;FOOD;RAW;100;POULTRY;MEATTOT;POULTDI;MEATDTOT
753;METSÄLINTU;FOOD;RAW;100;POULTRY;MEATTOT;POULTDI;MEATDTOT
754;BROILERISUIKALE, KESKIARVO;FOOD;RAW;100;POULTRY;MEATTOT;POULTDI;MEATDTOT
775;KOKOLIHALEIKKELE, SAUNAPALVIKINKKU, RASVAA 6 %;FOOD;SMOK;100;MEATPROD;MEATTOT;SAUSAGE;MEATDTOT
776;KOKOLIHALEIKKELE, NAUDANLIHALEIKKELE, RASVAA 2,8 %;FOOD;BOIL;100;MEATPROD;MEATTOT;SAUSAGE;MEATDTOT
779;KOKOLIHALEIKKELE, KEITTOKINKKU, RASVAA 4,5 %;FOOD;BOIL;100;MEATPROD;MEATTOT;SAUSAGE;MEATDTOT
786;MAKSA, NAUDAN;FOOD;RAW;100;OFFAL;MEATTOT;OFFALDI;MEATDTOT
787;MAKSA, SIAN;FOOD;RAW;100;OFFAL;MEATTOT;OFFALDI;MEATDTOT
788;MAKSA, BROILERIN;FOOD;RAW;100;OFFAL;MEATTOT;OFFALDI;MEATDTOT
789;MAKSA, PORON;FOOD;RAW;100;OFFAL;MEATTOT;OFFALDI;MEATDTOT
790;MAKSA, KESKIARVO;FOOD;RAW;100;OFFAL;MEATTOT;OFFALDI;MEATDTOT
791;MUNUAINEN;FOOD;RAW;100;OFFAL;MEATTOT;OFFALDI;MEATDTOT
792;SYDÄN, NAUDAN;FOOD;RAW;100;OFFAL;MEATTOT;OFFALDI;MEATDTOT
793;KIELI, NAUDAN;FOOD;RAW;100;OFFAL;MEATTOT;OFFALDI;MEATDTOT
794;VERI;FOOD;RAW;100;OFFAL;MEATTOT;OFFALDI;MEATDTOT
797;KOKOLIHALEIKKELE, POROLEIKKELE, KYLMÄSAVUSTETTU;FOOD;SMOK;100;MEATPROD;MEATTOT;SAUSAGE;MEATDTOT
799;KOKOLIHALEIKKELE, KINKKULEIKKELE, VÄHÄRASVAINEN, RASVAA 3,1%;FOOD;BOIL;100;MEATPROD;MEATTOT;SAUSAGE;MEATDTOT
800;SILAKKA, TUORE, ITÄMERI;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
801;SILAKKA, SUOLATTU, ITÄMERI;FOOD;SALT;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
802;SILAKKA, SAVUSTETTU, ITÄMERI;FOOD;SMOK;100;FISHPROD;FISHTOT;FISHDOTH;FISHDTOT
803;SILLI, TYNNYRIIN SUOLATTU;FOOD;SALT;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
804;TURSKA;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
805;KUHA;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
806;PUNA-AHVEN, SAVUSTETTU;FOOD;SMOK;100;FISHPROD;FISHTOT;FISHDOTH;FISHDTOT
807;SINIPALLAS, SAVUSTETTU;FOOD;SMOK;100;FISHPROD;FISHTOT;FISHDOTH;FISHDTOT
809;MUIKKU JÄRVI;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
810;MUIKKU, JÄRVI, SUOLATTU;FOOD;SALT;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
811;MUIKKU, JÄRVI, SAVUSTETTU;FOOD;SMOK;100;FISHPROD;FISHTOT;FISHDOTH;FISHDTOT
812;AHVEN;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
813;HAUKI;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
814;LAHNA;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
815;SIIKA;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
816;SIIKA, SAVUSTETTU;FOOD;SMOK;100;FISHPROD;FISHTOT;FISHDOTH;FISHDTOT
817;LOHI, KOKONAINEN;FOOD;RAW;65;FISH;FISHTOT;FISH;FISHDTOT
818;LOHI, TUORESUOLATTU;FOOD;SALT;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
819;MADE;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
820;KAMPELA;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
821;ANKERIAS;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
822;KIRJOLOHI, KOKONAINEN, KESKIARVO;FOOD;RAW;65;FISH;FISHTOT;FISH;FISHDTOT
823;TAIMEN;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
824;KALA KESKIARVO, SILAKKA/MUIKKU/AHVEN/HAUKI;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
825;NAHKIAINEN, SAVUSTETTU;FOOD;SMOK;100;FISHPROD;FISHTOT;FISHDOTH;FISHDTOT
826;SEITI, PAKASTE;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
828;TONNIKALA, ÖLJYSSÄ;FOOD;CANN;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
829;ANJOVIS;FOOD;CANN;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
830;LOHI, ÖLJYSSÄ;FOOD;CANN;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
831;SARDIINI, KESKIARVO, ÖLJYSSÄ JA TOMAATTIKASTIKKEESSA;FOOD;CANN;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
832;MÄTIKAVIAARI, SAMPIKALOJEN TUMMA MÄTI;FOOD;SALT;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
833;MÄTITAHNA;FOOD;IND;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
834;SINISIMPUKKA, VEDESSÄ;FOOD;CANN;100;SHELLFIS;FISHTOT;FISHPROD;FISHDTOT
835;KATKARAPU;FOOD;RAW;100;SHELLFIS;FISHTOT;FISH;FISHDTOT
836;RAPU;FOOD;RAW;100;SHELLFIS;FISHTOT;FISH;FISHDTOT
837;MAUSTE/SUOLASILLI, KESKIARVO;FOOD;SALT;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
838;MAUSTE/SUOLASILAKKA, KESKIARVO;FOOD;SALT;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
844;LAHNA, SAVUSTETTU;FOOD;SMOK;100;FISHPROD;FISHTOT;FISHDOTH;FISHDTOT
845;SÄRKI;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
846;PUNA-AHVEN, PAKASTE;FOOD;FROZ;100;FISH;FISHTOT;FISHPROD;FISHDTOT
848;KIRJOLOHI, MERI, FILEE;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
851;KANANMUNAN KELTUAINEN, 34% KANANMUNAN MASSASTA;FOOD;RAW;100;EGG;EGGTOT;EGGS;EGGDISH
852;KANANMUNAN VALKUAINEN, 66% KANANMUNAN MASSASTA;FOOD;RAW;100;EGG;EGGTOT;EGGS;EGGDISH
855;VIIRIÄISEN MUNA;FOOD;RAW;100;EGGOTH;EGGTOT;EGGS;EGGDISH
856;KALA, SAVUSTETTU, KESKIARVO, VÄHÄRASVAINEN;FOOD;SMOK;100;FISHPROD;FISHTOT;FISHDOTH;FISHDTOT
857;KALA, SAVUSTETTU, KESKIARVO, RASVAINEN;FOOD;SMOK;100;FISHPROD;FISHTOT;FISHDOTH;FISHDTOT
858;KANANMUNA, KUORETON;FOOD;RAW;100;EGG;EGGTOT;EGGS;EGGDISH
859;SILLI, VALKOSIPULI-/SINAPPIKASTIKKEESSA;FOOD;CANN;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
860;SILAKKA, TILLI-/SINAPPIKASTIKKEESSA;FOOD;CANN;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
862;TONNIKALA;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
863;OSTERI, PUNNITTU KUORINEEN;FOOD;RAW;100;SHELLFIS;FISHTOT;FISHPROD;FISHDTOT
864;ETANA;FOOD;FROZ;100;SHELLFIS;FISHTOT;FISHPROD;FISHDTOT
865;MUSTEKALA;FOOD;FROZ;100;SHELLFIS;FISHTOT;FISHPROD;FISHDTOT
866;HUMMERI;FOOD;RAW;100;SHELLFIS;FISHTOT;FISHPROD;FISHDTOT
870;KIRJOLOHIFILEE, TUORESUOLATTU;FOOD;SALT;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
871;LOHIFILEE;FOOD;RAW;100;FISH;FISHTOT;FISH;FISHDTOT
900;KAHVIJUOMA, KESKIARVO;FOOD;BOIL;100;COFFEE;BEVTOT;COFFEE;BEVTOT
901;TEE;FOOD;BOIL;100;TEA;BEVTOT;TEA;BEVTOT
902;OLUT, KESKIOLUT, 4,5 TIL% ALKOHOLIA;FOOD;IND;100;BEER;ALCTOT;BEER;ALCTOT
903;OLUT, A-OLUT, 5- 5,5 TIL% ALKOHOLIA;FOOD;IND;100;BEER;ALCTOT;BEER;ALCTOT
904;VIINI, KESKIARVO, 8-15 TIL% ALKOHOLIA;FOOD;IND;100;WINE;ALCTOT;WINE;ALCTOT
905;VÄKEVÄ VIINI, MAKEA, KATKERO, SHERRY, VERMUTTI, MADEIRA, HEDELMÄVIINI;FOOD;IND;100;WINE;ALCTOT;WINE;ALCTOT
906;VIINA, KIRKAS, VODKA, GINI;FOOD;IND;100;SPIRIT;ALCTOT;SPIRIT;ALCTOT
907;KONJAKKI/ROMMI/VISKI, 40 TIL% ALKOHOLIA;FOOD;IND;100;SPIRIT;ALCTOT;SPIRIT;ALCTOT
908;LIKÖÖRI, 20-30 TIL% ALKOHOLIA;FOOD;IND;100;SPIRIT;ALCTOT;SPIRIT;ALCTOT
909;GIN LONG DRINK, 5,5 TIL%;FOOD;IND;100;ALCOTH;ALCTOT;ALCOTH;ALCTOT
910;VIRVOITUSJUOMA;FOOD;IND;100;SDRINK;BEVTOT;DRINKSO;BEVTOT
911;SIIDERI MAKEA, <3 TIL% ALKOHOLIA;FOOD;IND;100;ALCOTH;ALCTOT;ALCOTH;ALCTOT
912;SIMA;FOOD;IND;100;SDRINK;BEVTOT;DRINKSO;BEVTOT
913;OLUT,  I-OLUT, <2,8 TIL% ALKOHOLIA;FOOD;IND;100;BEER;ALCTOT;ALCOTH;ALCTOT
914;KALJA, KOTIOLUT;FOOD;IND;100;SDRINK;BEVTOT;ALCOTH;ALCTOT
915;KIVENNÄISVESI, MINERAALIVESI;FOOD;IND;100;WATER;BEVTOT;DRWATER;BEVTOT
917;SITRUUNATEEJUOMAJAUHE, VALMISTAMATON, SOKERILLA MAKEUTETTU PIKATEE;FOOD;DRIE;100;INGRMIS;INGRTOT;INGRMISC;MISCTOT
920;VIRVOITUSJUOMA, SOKERITON, LIGHT;FOOD;IND;100;SDRINK;BEVTOT;DRINKART;BEVTOT
921;KIVENNÄISVESI, VÄHÄNATRIUMINEN;FOOD;IND;100;WATER;BEVTOT;DRWATER;BEVTOT
922;VESI, VESIJOHTOVESI;FOOD;X;100;WATER;BEVTOT;DRWATER;BEVTOT
923;TEE, YRTTITEE JUOMA;FOOD;BOIL;100;TEA;BEVTOT;TEA;BEVTOT
924;PUNAVIINI;FOOD;IND;100;WINE;ALCTOT;WINE;ALCTOT
925;VALKOVIINI, KUIVA;FOOD;IND;100;WINE;ALCTOT;WINE;ALCTOT
926;VALKOVIINI, MAKEA;FOOD;IND;100;WINE;ALCTOT;WINE;ALCTOT
928;VIRVOITUSJUOMA, KOLAJUOMA, KESKIARVO;FOOD;IND;100;SDRINK;BEVTOT;DRINKCO;BEVTOT
929;VIINIETIKKA;FOOD;IND;100;FLAVSAUC;FLAVTOT;SPISAUCE;MISCTOT
930;KAHVIJUOMA, SUODATINKAHVIJUOMA;FOOD;BOIL;100;COFFEE;BEVTOT;COFFEE;BEVTOT
931;KAHVIJUOMA, PANNUKAHVIJUOMA;FOOD;BOIL;100;COFFEE;BEVTOT;COFFEE;BEVTOT
932;ERIKOISKAHVIJUOMA, CAPPUCCINO, MAKEUTTAMATON, TÄYSMAITO;FOOD;MIX;100;COFFEE;BEVTOT;COFFEE;BEVTOT
933;VÄKIVIINAETIKKA;FOOD;IND;100;FLAVSAUC;FLAVTOT;INGRMISC;MISCTOT
934;HUNAJA-OMENA-VIINIETIKKA;FOOD;IND;100;FLAVSAUC;FLAVTOT;SPISAUCE;MISCTOT
936;MIETO VIINI, 4-5 TIL% ALKOHOLIA;FOOD;IND;100;WINE;ALCTOT;WINE;ALCTOT
937;TEE, VIHREÄ TEE;FOOD;BOIL;100;TEA;BEVTOT;TEA;BEVTOT
938;VIRVOITUSJUOMA, OSITTAIN KEINOTEKOISESTI MAKEUTETTU;FOOD;IND;100;SDRINK;BEVTOT;DRINKART;BEVTOT
939;SIIDERI, MAKEA, 4,7 TIL% ALKOHOLIA;FOOD;IND;100;ALCOTH;ALCTOT;ALCOTH;ALCTOT
940;OLUT, VAHVA, 7,5- 8 TIL% ALKOHOLIA;FOOD;IND;100;BEER;ALCTOT;BEER;ALCTOT
941;VIRVOITUSJUOMA, KOLAJUOMA LIGHT, OSITTAIN KEINOTEKOISESTI MAKEUTETTU;FOOD;IND;100;SDRINK;BEVTOT;DRINKCO;BEVTOT
942;KERMALIKÖÖRI, 15-17 TIL% ALKOHOLIA;FOOD;IND;100;ALCOTH;ALCTOT;ALCOTH;ALCTOT
946;TÄRKKELYSSIIRAPPI, GLUKOOSISIIRAPPI;FOOD;IND;100;SUGARSYR;SUGARTOT;SUGADD;SUGARTOT
1554;JUUSTONAKSU;FOOD;IND;100;CEROTH;CERTOT;SNACK;MISCTOT
5007;VOILEIPÄPIKKELSSI;FOOD;IND;100;FATOTH;FATTOT;DRESSING;FATTOT
11001;VAALEA JUURIKASVIS KESKIARVO;FOOD;RAW;100;ROOT;VEGTOT;VEGFRESH;VEGDITOT
11002;TUMMANVIHREÄ LEHTIKASVIS KESKIARVO;FOOD;RAW;100;VEGLEAF;VEGTOT;VEGFRESH;VEGDITOT
11004;MÄTI KESKIARVO;FOOD;RAW;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
11005;NELJÄN VILJAN HIUTALE;FOOD;RAW;100;WHEAT;CERTOT;CERBRKF;CEBAKTOT
11007;RUUSUNMARJA;FOOD;RAW;100;BERRY;FRUITTOT;BERFRESH;FRUDITOT
11012;MANSIKKAHILLO, KOTITEKOINEN, SOKERIA 54 G/100 G;FOOD;CANN;100;FRUITCAN;FRUITTOT;JAM;FRUDITOT
11013;APPELSIINIMARMELADI;FOOD;CANN;100;FRUITCAN;FRUITTOT;JAM;FRUDITOT
11014;PALMUÖLJY;FOOD;IND;100;OIL;FATTOT;FATPROD;FATTOT
11030;JAUHO, RUISSIHTIJAUHO;FOOD;RAW;100;RYE;CERTOT;CERBRKF;CEBAKTOT
11045;APPELSIINI, KUORITTU;FOOD;RAW;100;CITRUS;FRUITTOT;FRUFRESH;FRUDITOT
11046;MANDARIINI, KUORITTU;FOOD;RAW;100;CITRUS;FRUITTOT;FRUFRESH;FRUDITOT
11047;GREIPPI, KUORITTU;FOOD;RAW;100;CITRUS;FRUITTOT;FRUFRESH;FRUDITOT
11048;SITRUUNA, KUORITTU;FOOD;RAW;100;CITRUS;FRUITTOT;FRUFRESH;FRUDITOT
11049;BANAANI, KUORITTU;FOOD;RAW;100;FRUITOTH;FRUITTOT;FRUFRESH;FRUDITOT
11050;KIIVI, KUORITTU;FOOD;RAW;100;FRUITOTH;FRUITTOT;FRUFRESH;FRUDITOT
11051;PERSIKKA/NEKTARIINI, KUORITTU, KIVETÖN;FOOD;RAW;100;APPLE;FRUITTOT;FRUFRESH;FRUDITOT
11052;KIRSIKKA, KIVETÖN;FOOD;RAW;100;FRUITOTH;FRUITTOT;FRUFRESH;FRUDITOT
11053;LUUMU, KIVETÖN;FOOD;RAW;100;APPLE;FRUITTOT;FRUFRESH;FRUDITOT
11054;APRIKOOSI, KESKIARVO, KIVETÖN;FOOD;RAW;100;APPLE;FRUITTOT;FRUFRESH;FRUDITOT
11055;VESIMELONI, KUORITTU;FOOD;RAW;100;FRUITOTH;FRUITTOT;FRUFRESH;FRUDITOT
11056;ANANAS, KUORITTU;FOOD;RAW;100;FRUITOTH;FRUITTOT;FRUFRESH;FRUDITOT
11057;AVOKADO, KUORITTU, KIVETÖN;FOOD;RAW;100;FRUITOTH;FRUITTOT;FRUFRESH;FRUDITOT
11059;TONNIKALA KESKIARVO;FOOD;CANN;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
11060;OMENA, KOTIMAINEN, KUORITTU;FOOD;RAW;100;APPLE;FRUITTOT;FRUFRESH;FRUDITOT
11061;OMENA, ULKOMAINEN, KUORITTU;FOOD;RAW;100;APPLE;FRUITTOT;FRUFRESH;FRUDITOT
11062;PÄÄRYNÄ, KUORITTU;FOOD;RAW;100;APPLE;FRUITTOT;FRUFRESH;FRUDITOT
11063;LUUMU, KIVETÖN, KUIVATTU;FOOD;DRIE;100;APPLE;FRUITTOT;SNACK;MISCTOT
11064;HERKKUSIENI, SÄILYKE;FOOD;CANN;100;MUSHRO;VEGTOT;MUSHRDI;VEGDITOT
11065;RUUSUNMARJASOSE, SOKERITON;FOOD;FROZ;100;FRUITCAN;FRUITTOT;JAM;FRUDITOT
11067;TONNIKALA, VEDESSÄ;FOOD;CANN;100;FISHPROD;FISHTOT;FISHPROD;FISHDTOT
11069;VIINI, ALKOHOLITON;FOOD;IND;100;SDRINK;BEVTOT;WINE;ALCTOT
11071;ERIKOISHEDELMÄ, EKSOOTTINEN, KESKIARVO, MANGO/PAPAIJA, KUORITTU;FOOD;RAW;100;FRUITOTH;FRUITTOT;FRUFRESH;FRUDITOT
11074;ITU, SINIMAILASEN ITU;FOOD;RAW;100;VEGLEAF;VEGTOT;VEGFRESH;VEGDITOT
11086;PÄHKINÄ, CASHEWPÄHKINÄ;FOOD;RAW;100;NUTSEED;LEGUTOT;SNACK;MISCTOT
11089;KIKHERNE SUOLATTOMASSA VEDESSÄ, KAHVIHERNE;FOOD;BOIL;100;PEABEAN;LEGUTOT;VEGPOT;VEGDITOT
11090;PAPU, VALKOINEN, TOMAATTIKASTIKE;FOOD;CANN;100;PEABEAN;LEGUTOT;VEGCANN;VEGDITOT
11092;HERAJAUHE;FOOD;DRIE;100;MILKOTH;MILKTOT;INGRMISC;MISCTOT
11130;TUOREJUUSTO, RASVAA 6-11 %;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
11131;JUUSTO, VALKOHOME/VALKOSINIHOMEJUUSTO RASVAA 40%, VIT CASTELLO/BLÅ CASTELLO/SAGA;FOOD;IND;100;CHEESE;MILKTOT;CHEESHAR;MILKDTOT
11132;TUOREJUUSTO-KASVIRASVAA, RASVAA 24-30 %;FOOD;IND;100;CHEESE;MILKTOT;VEGCHEES;MILKDTOT
11133;JUUSTO, PUOLIKOVA JUUSTO, RASVAA 15-18 %, KEVYT, TURUNMAA/EDAM 17/ADAM/MAGRE;FOOD;IND;100;CHEESE;MILKTOT;CHEESHAR;MILKDTOT
11134;BASILIKA, TUORE;FOOD;RAW;100;VEGLEAF;VEGTOT;VEGFRESH;VEGDITOT
11135;BAMBUNVERSO;FOOD;CANN;100;VEGCANN;VEGTOT;VEGCANN;VEGDITOT
11136;KERMA, VISPIKERMA, KEVYT, RASVAA 25 %;FOOD;IND;100;CREAM;MILKTOT;MILKHF;MILKDTOT
11142;MEHUJÄÄ KESKIARVO;FOOD;IND;100;FBDRINK;FRUITTOT;ICECREAM;MILKDTOT
11145;RASVATON MAITO, VL, D-VITAMIINIA 1 UG;FOOD;IND;100;MILK;MILKTOT;MILKFF;MILKDTOT
11146;JUUSTO, LEIPÄJUUSTO, RASVAA 17-23 %, VL;FOOD;IND;100;CHEESE;MILKTOT;CHEESOFT;MILKDTOT
11148;JÄÄTELÖ, KERMAJÄÄTELÖPUIKKO, SUKLAINEN, KESKIARVO;FOOD;IND;100;ICECREAM;MILKTOT;ICECREAM;MILKDTOT
11149;JÄÄTELÖ, MEHUJÄÄ-JÄÄTELÖPUIKKO, KESKIARVO;FOOD;IND;100;ICECREAM;MILKTOT;ICECREAM;MILKDTOT
11150;BROILERI, MARINOITU, ILMAN NAHKAA, RAAKA;FOOD;MIX;100;POULTRY;MEATTOT;POULTDI;MEATDTOT
